Ac2O3,Actinium(III) oxide,
AgBF4,Silver tetrafluoroborate,
AgBr,silver bromide,
AgBrO3,silver bromate,
AgCl,silver chloride,
AgCl3Cu2,dicopper silver trichloride,
AgClO3,silver chlorate,
AgClO4,silver perchlorate,
AgCN,silver cyanide,
AgF,silver fluoride,
AgF2,silver(II) fluoride,
AgI,silver iodide,
AgIO3,silver iodate,
C31H4,AAA,
CAl,aluminium carbide,
CH2AlN,aluminium monocyanide,
CB,boron carbide,
CBSi,carbon monoboride monosilicide,
CB2,diboron carbide,
CB4,boron carbide,
CBe2,beryllium carbide,
CBr,bromomethylidyne,
CBrF2,bromodifluoromethyl radical,
CBrN,cyanogen bromide,
CBrNO,bromine isocyanate,
CBrNO,bromoformonitrile oxide,
CBrNS,bromine thiocyanate,
CBrNSe,selenium bromide cyanide,
CBr2,dibromomethylene,
CBr2ClF,chloro dibromo fluoro methane,
CBr2O,carbonyl bromide,
CBr3,tribromomethyl radical,
CBr3Cl,tribromochloromethane,
CBr4,carbon tetrabromide,
CCe,cerium monocarbide,
CCeRh,monocerium monorhodium monocarbide,
CCeRu,monocerium monoruthenium monocarbide,
CCeSi,cerium monocarbide monosilicide,
CCl,chloromethylidyne,
CClF,chlorofluoromethylene,
CClFO,carbonic chloride fluoride,
CClFS,carbonothioic chloride fluoride,
CClF2,chlorodifluoromethyl radical,
CClF3O2S,trifluoromethanesulfonyl chloride,
CClF3S,trifluoromethanesulfenyl chloride,
CClN,cyanogen chloride,
CClNO,chlorine isocyanate,
CClNS,chlorine thiocyanate,
CClNSe,selenium chloride cyanide,
CClO,carbonyl chloride,
CCl2,dichloromethylene,
CCl2F,dichlorofluoromethyl radical,
CCl2F2,dichlorodifluoromethane,
CCl2O,phosgene,
CCl2OS,chlorocarbonylsulfenyl chloride,
CCl2S,carbonothioic dichloride,
CCl2S2,chlorothioformylsulfenylchloride,
CCl3,trichloromethyl radical,
CCl3F,trichloromonofluoromethane,
CCl3NO2,chloropicrin,
CCl4,carbon tetrachloride,
CCs2O3,dicesium carbonate,
CCuN,copper cyanide,
CEuN,europium cyanide,
CF,fluoromethylidyne,
CFN,cyanogen fluoride,
CFO,fluoroformyl radical,
CF2,difluoromethylene,
CF2NOP,phosphorisocyanatidous difluoride,
CF2NP,phosphorocyanidous difluoride,
CF2N2,difluorocyanamide,
CF2N2O4,difluorodinitromethane,
CF2O,carbonyl fluoride,
CF2S,thiocarbonyl fluoride,
CF3,trifluoromethyl radical,
CF3NO,trifluoronitrosomethane,
CF3NO4,trifluoromethyl peroxynitrate,
CF4,carbon tetrafluoride,
CF4O,trifluoromethyl hypofluorite,
CF5N,pentafluoromethylamine,
CF5N3,pentafluoroguanidine,
CF6N2,hexafluoromethanediamine,
CF7N3,heptafluoromethanetriamine,
CF8N4,octafluoromethanetetramine,
CGaN,gallium monocyanide,
CGe,germanium monocarbide,
CGeSi,germanium carbide silicide,
CGe3,trigermanium monocarbide,
CH,methylidyne radical,
CHBrClF,bromochlorofluoromethane,
CHBr2,dibromomethyl radical,
CHCl,chloromethylene,
CHClF,chlorofluoromethyl radical,
CHClO,formyl chloride,
CHCl2,dichloromethyl radical,
CHCl3,chloroform,
CHCl3O2S,dichloromethanesulfonyl chloride,
CHCl5Si,dichloromethyl trichloro silane,
CHF,fluoromethylene,
CHFN2O4,fluorodinitromethane,
CHFO,formyl fluoride,
CHF2,difluoromethyl radical,
CHF3,trifluoromethane,
CHF3S,trifluoromethanethiol,
CHLiO2,lithium formate,
CHLiO2,lithium formate,
CHN,hydrogen cyanide,
CHN,hydrogen isocyanide,
CHNO,cyanic acid,
CHNO,fulminic acid,
CHNO,isocyanic acid,
CHNS,isothiocyanic acid,
CHNaO2,sodium formate,
CHO,formyl radical,
CHO2,hydrocarboxyl radical,
CHO2Rb,rubidium formate,
CHO2Tl,thallium formate,
CHP,methinophosphide,
CHS,thioformyl radical,
CH2,methylene,
CH2Br,bromomethyl radical,
CH2BrI,bromoiodomethane,
CH2BrNO2,bromonitromethane,
CH2Cl,chloromethyl radical,
CH2ClI,chloroiodomethane,
CH2ClNO2,chloronitromethane,
CH2Cl2,methylene chloride,
CH2Cl2O2S,chloromethanesulfonyl chloride,
CH2F,fluoromethyl radical,
CH2F2O4S2,methanedisulfonyl fluoride,
CH2N2,cyanamide,
CH2N2O4,dinitromethane,
CH2N6O2,nitroguanylazide,
CH2O,formaldehyde,
CH2O,hydroxymethylene,
CH2O,polyoxymethylene,
CH2OS,sulfine,
CH2O2,dioxirane,
CH2O2,formic acid,
CH2S,thioformaldehyde,
CH3,methyl radical,
CH3AsCl2,methyldichloroarsine,
CH3BBrClO,methoxybromochloroborane,
CH3BBrFO,methoxybromofluoroborane,
CH3BBr2,methylboron dibromide,
CH3BBr2S,methylthiodibromoborane,
CH3BClFO,methoxychlorofluoroborane,
CH3BCl2,methyldichloroborane,
CH3BCl2O,methoxydichloroborane,
CH3BCl2S,methylthiothichlroborane,
CH3BFIO,fluoroiodomethoxyborane,
CH3BF2O,methoxydifluoroborane,
CH3BF2S,methylthiodifluoroborane,
CH3BI2O,methoxydiiodoborane,
CH3BI2S,methylthiodiiodoborane,
CH3Br,methyl bromide,
CH3Cl,methyl chloride,
CH3ClFOP,methylphosphonyl chlorofluoride,
CH3ClO,methyl hypochlorite,
CH3ClO2S,methanesulfonyl chloride,
CH3ClS,methanesulfenylchloride,
CH3Cl2OP,methoxy dichloro phosphine,
CH3Cl2OP,methyl phosphonic dichloride,
CH3Cl2OPS,methylthiophosphorylchloride,
CH3Cl2O2P,methyl dichlorophosphate,
CH3Cl2P,methyldichlorophosphine,
CH3Cl2PS,methylphosphonothioic dichloride,
CH3Cl3Ge,methylgermanium trichloride,
CH3D,deuteriomethane 1,
CH3F,methyl fluoride,
CH3FO,methyl hypofluorite,
CH3FO2S,methanesulfonyl fluoride,
CH3F2OP,methylphosphonyl difluoride,
CH3I,methyl iodide,
CH3IS,methylsulfenyliodide,
CH3N,methanimine,
CH3NO,formamide,
CH3NO2,methyl nitrite,
CH3NO3,methyl nitrate,
